NormalizedName|Вуз|Профиль|Средний балл зачисленных по результатам ЕГЭ 2012 (в расчете на один предмет)|Min балл зачисленных по результатам ЕГЭ 2012 (в расчете на один предмет)|Балл самого слабого из зачисленных по результатам ЕГЭ 2012|Количество студентов, зачисленных на бюджетные места|Из них: количество студентов, зачисленных по конкурсу|Из них: олимпиадников|Из них: льготников|Из них: целевиков|Разность между средними баллами зачисленных по результатам ЕГЭ 2012 – 2011|Средний балл ЕГЭ зачисленных по конкурсу 2012 (в расчете на один предмет)|Разность между ср.балл ЕГЭ зачисленных по конкурсу 2012  – 2011
БФУ им Канта|Балтийский федеральный ун-т. им. Иммануила Канта, г.Калининград|классический|65.0|47.7|32.5|874|746|0|61|67|-3.6|57.4|-7.1
ДВФУ|Дальневосточный федеральный ун-т., г. Владивосток|классический|59.5|45.8|33.7|2269|1871|1|87|310|4.2|53.7|9.6
МФТИ|Моск. физико-техн. ин-т. (МФТИ)|технический|90.4|80.7|69.3|867|757|66|7|37|0.7|84.2|2.3
ВШЭ|Национальный исследовательский ун-т. "Высшая школа экономики", г. Москва|социально-экономический|86.4|76.4|62.3|1596|700|818|49|29|5.4|87.1|3.1
ЮУрГУ|Национальный исследовательский Южно-Уральский гос. ун-т.|классический|63.6|56.4|33.0|1805|1635|24|61|85|4.3|60.0|2.6
МИФИ|Национальный исследовательский ядерный ун-т. "МИФИ", г. Москва|технический|75.8|58.3|42.7|1249|976|73|21|179|2.4|75.5|6.1
НовосибГУ|Новосибирский гос. ун-т.|классический|76.8|59.8|37.0|791|584|153|54|0|-2.2|76.9|2.2
Политех|Санкт-Петербургский гос. политехн. ун-т.|технический|71.1|55.7|40.0|2054|1509|176|48|321|-9|67.9|3.2
ЛЭТИ|Санкт-Петербургский гос. электротехн. ун-т. “ЛЭТИ”|технический|67.6|54.1|46.3|1143|825|38|14|266|-4.1|64.5|0.6
ИТМО|Санкт-Петербургский национальный исследовательский ун-т. информационных технологий, механики и оптики|технический|75.9|74.0|61.7|1372|928|309|23|112|9|74.0|0.3
СибФУ|Сибирский федеральный ун-т. (СФУ), г. Красноярск|классический|63.8|47.1|32.4|3915|3334|3|234|344|-2.5|57.1|0.6
УРФУ|Уральский федеральный ун-т. им. первого Президента России Б.Н.Ельцина, г. Екатеринбург|классический|66.5|50.0|32.0|2966|2160|110|170|526|1.2|66.4|5.5
