NormalizedName|Вуз|Профиль|Регион|Средний балл зачисленных по результатам ЕГЭ 2014 (в расчете на один предмет)|Разность между средними баллами зачисленных по результатам ЕГЭ 2014 – 2013|Балл самого слабого из зачисленных по результатам ЕГЭ 2014|Количество студентов, зачисленных на бюджетные места|Из них: количество студентов, зачисленных по конкурсу|Из них: олимпиадников|Из них: льготников|Из них: целевиков|Средний балл ЕГЭ зачисленных по конкурсу 2014 (в расчете на один предмет)
БФУ им Канта|Балтийский федеральный ун-т. им. И. Канта|классический|Калининградская область|70.1|0.3|49.0|903|835|0|22|45|70.1
ДВФУ|Дальневосточный федеральный ун-т.|классический|Приморский край|65.4|0.8|39.7|2200|1936|5|83|173|66.4
МФТИ|Моск. физико-техн. ин-т.|технический|Москва и Московская область|92.2|-1|67.3|926|751|61|9|83|93.5
ТПУ|Национальный исследовательский Томский политехн. ун-т.|технический|Томская область|68.3|-4.1|50.0|1313|1201|44|13|55|68.5
ВШЭ|Национальный исследовательский ун-т. "Высшая школа экономики", г. Москва|социально-экономический|Москва и Московская область|86.0|-3|62.8|1873|1048|725|59|41|86.8
ЮУрГУ|Национальный исследовательский Южно-Уральский гос. ун-т.|классический|Челябинская область|65.9|-3.7|35.3|1897|1708|10|50|129|66.6
МИФИ|Национальный исследовательский ядерный ун-т. "МИФИ", г. Москва|технический|Москва и Московская область|83.7|-0.9|59.3|607|482|41|9|67|85.2
НовосибГУ|Новосибирский национальный исследовательский гос. ун-т.|классический|Новосибирская область|79.2|-3|51.3|930|738|151|33|8|79.8
Политех|Санкт-Петербургский гос. политехн. ун-т.|технический|Санкт-Петербург|72.9|-2.9|39.0|2300|1813|126|44|302|74.7
ЛЭТИ|Санкт-Петербургский гос. электротехн. ун-т. “ЛЭТИ”|технический|Санкт-Петербург|71.7|-2.7|46.0|1324|1070|17|17|179|73.2
ИТМО|Санкт-Петербургский национальный исследовательский ун-т. информационных технологий, механики и оптики|технический|Санкт-Петербург|78.9|-1.6|64.7|1173|890|227|12|44|79.2
СибФУ|Сибирский федеральный ун-т.|классический|Красноярский край|64.0|-2.9|34.7|3991|3570|7|187|227|64.5
УРФУ|Уральский федеральный ун-т. им. Б.Н. Ельцина|классический|Свердловская область|68.5|-0.9|41.3|3306|2622|84|64|536|70.2
