NormalizedName|Регион|Вуз|Профиль|Средний балл ЕГЭ зачисленных на платные места 2014 (в расчете на один предмет)|Насколько изменился средний балл зачисленных на платные места в 2014 по сравнению с 2013|Балл самого слабого зачисленного на платное место 2013|Сколько человек зачислено на платные места 2014|Средний балл зачисленных по результатам ЕГЭ 2014 (в расчете на один предмет)|Сколько человек зачислено на бюджетные места 2014
БФУ им Канта|Калининградская область|Балтийский федеральный ун-т. им. И. Канта|классический|60.3|-2.2|37.0|510|70.1|903
ДВФУ|Приморский край|Дальневосточный федеральный ун-т.|классический|52.3|-4|33.7|1677|65.4|2200
МФТИ|Москва и Московская область|Моск. физико-техн. ин-т.|технический|78.9|-2|65.0|74|92.2|926
ТПУ|Томская область|Национальный исследовательский Томский политехн. ун-т.|технический|63.9|1.3|44.7|134|68.3|1313
ВШЭ|Москва и Московская область|Национальный исследовательский ун-т. "Высшая школа экономики", г. Москва|социально-экономический|77.8|-3.3|59.5|914|86.0|1873
МИФИ|Москва и Московская область|Национальный исследовательский ядерный ун-т. "МИФИ", г. Москва|технический|71.8|2.1|32.3|66|83.7|607
НовосибГУ|Новосибирская область|Новосибирский национальный исследовательский гос. ун-т.|классический|69.5|-1.5|52.3|557|79.2|930
Политех|Санкт-Петербург|Санкт-Петербургский гос. политехн. ун-т.|технический|59.2|-4.2|37.0|1834|72.9|2300
ЛЭТИ|Санкт-Петербург|Санкт-Петербургский гос. электротехн. ун-т. “ЛЭТИ”|технический|61.4|-3.7|39.0|224|71.7|1324
ИТМО|Санкт-Петербург|Санкт-Петербургский национальный исследовательский ун-т. информационных технологий, механики и оптики|технический|60.0|-4.1|38.0|482|78.9|1173
СибФУ|Красноярский край|Сибирский федеральный ун-т.|классический|58.5|-4.3|37.0|1551|64.0|3991
УРФУ|Свердловская область|Уральский федеральный ун-т. им. Б.Н. Ельцина|классический|59.9|-2.1|32.0|2118|68.5|3306
