NormalizedName|Вуз|Средний балл ЕГЭ зачисленных на бюджет 2015|Количество студентов, зачисленных на бюджетные места|Из них: количество студентов, зачисленных по конкурсу|Из них: олимпиадников|Из них: по квоте|Из них: на целевые места|Из них: Крым|Средний балл ЕГЭ рассчитан с вычетом баллов за И.Д.?|Средний балл ЕГЭ зачисленных на бюджет 2015 (без вычета баллов за И.Д.)
БФУ им Канта|Балтийский федеральный ун-т. им. И. Канта|71.1|850|758|0|25|65|2|Да|72.7
ДВФУ|Дальневосточный федеральный ун-т.|66.7|2418|1948|4|111|353|2|Нет|66.7
МФТИ|Моск. физико-техн. ин-т.|93.8|890|535|190|15|141|9|Да|95.6
ТПУ|Национальный исследовательский Томский политехн. ун-т.|74.3|1287|1100|55|27|105|0|Да|77.0
ВШЭ|Национальный исследовательский ун-т. "Высшая школа экономики", г. Москва|89.3|2448|1617|684|87|53|7|Да|90.6
ЮУрГУ|Национальный исследовательский Южно-Уральский гос. ун-т.|65.2|2086|1881|16|67|122|0|Да|65.3
МИФИ|Национальный исследовательский ядерный ун-т. "МИФИ", г. Москва|86.3|475|362|27|9|75|2|Да|89.3
НовосибГУ|Новосибирский национальный исследовательский гос. ун-т.|82.0|943|824|84|33|2|0|Да|82.8
Политех|Санкт-Петербургский гос. политехн. ун-т.|77.3|2508|2139|91|68|200|10|Да|78.4
ЛЭТИ|Санкт-Петербургский гос. электротехн. ун-т. “ЛЭТИ”|73.7|1381|1132|20|14|196|19|Да|78.0
ИТМО|Санкт-Петербургский национальный исследовательский ун-т. информационных технологий, механики и оптики|82.7|1122|891|157|16|56|2|Да|84.4
СибФУ|Сибирский федеральный ун-т.|64.4|4117|3651|24|185|256|1|Да|65.4
УРФУ|Уральский федеральный ун-т. им. Б.Н. Ельцина|70.4|4105|3470|50|72|512|1|Да|73.9
