NormalizedName|Вуз|Ср.балл ЕГЭ зачисленных на платные места 2015|Зачислено на платные места (чел.) 2015|Насколько изменился ср.балл ЕГЭ зачисленных на платные места в 2015 по сравнению с 2014|Ср.балл ЕГЭ зачисленных на бюджет 2015|Зачислено на бюджетные места (чел.) 2015|Ср.балл ЕГЭ рассчитан с вычетом баллов за И.Д.?|Ср.балл ЕГЭ зачисленных на платные места (без вычета баллов за И.Д.) 2015
БФУ им Канта|Балтийский федеральный ун-т. им. И. Канта|64.3|335|4|71.1|850|Да|65.4
ДВФУ|Дальневосточный федеральный ун-т.|55.7|1588|3.4|66.7|2418|Нет|55.7
МФТИ|Моск. физико-техн. ин-т.|82.5|149|3.6|93.8|890|Да|83.5
ТПУ|Национальный исследовательский Томский политехн. ун-т.|62.8|246|-1.1|74.3|1287|Да|64.6
ВШЭ|Национальный исследовательский ун-т. "Высшая школа экономики", г. Москва|79.0|2028|1.2|89.3|2448|Да|80.6
МИФИ|Национальный исследовательский ядерный ун-т. "МИФИ", г. Москва|76.0|305|4.2|86.3|475|Да|77.8
НовосибГУ|Новосибирский национальный исследовательский гос. ун-т.|70.4|501|0.9|82.0|943|Да|70.6
Политех|Санкт-Петербургский гос. политехн. ун-т.|62.2|1480|3|77.3|2508|Да|62.2
ЛЭТИ|Санкт-Петербургский гос. электротехн. ун-т. “ЛЭТИ”|63.9|345|2.5|73.7|1381|Да|66.0
ИТМО|Санкт-Петербургский национальный исследовательский ун-т. информационных технологий, механики и оптики|64.0|336|4|82.7|1122|Да|65.0
СибФУ|Сибирский федеральный ун-т.|57.7|1396|-0.8|64.4|4117|Да|58.3
УРФУ|Уральский федеральный ун-т. им. Б.Н. Ельцина|66.0|1416|6.1|70.4|4105|Да|69.3
