NormalizedName|Вуз|Средний балл ЕГЭ зачисленных на платные места 2016|Рост / падение 2015-2016|Зачислено на платные места, чел. 2016|Средний балл рассчитан с вычетом баллов за И.Д.?|Средний балл ЕГЭ зачисленных на платные места (БЕЗ вычета И.Д.) 2016|Средний балл ЕГЭ зачисленных на бюджет 2016|Зачислено на бюджетные места, чел. 2016|Балл ЕГЭ самого слабого зачисленного на платное место 2016
БФУ им Канта|Балтийский федеральный ун-т. им. И. Канта|65.5|1.2|308|Да|65.5|72.4|878|42.0
ДВФУ|Дальневосточный федеральный ун-т.|55.9|0.2|1790|Нет|55.9|67.5|2320|33.0
МФТИ|Моск. физико-техн. ин-т.|83.6|1.1|105|Да|84.8|93.8|910|73.3
ТПУ|Национальный исследовательский Томский политехн. ун-т.|65.5|2.7|308|Да|65.7|77.0|1236|50.3
ВШЭ|Национальный исследовательский ун-т. "Высшая школа экономики", г. Москва|80.9|1.9|3085|Да|82.5|92.2|1963|57.5
МИФИ|Национальный исследовательский ядерный ун-т. "МИФИ", г. Москва|77.4|1.4|71|Да|78.5|87.8|542|69.0
НовосибГУ|Новосибирский национальный исследовательский гос. ун-т.|71.3|0.9|726|Да|71.7|82.7|964|50.0
Политех|Санкт-Петербургский гос. политехн. ун-т.|66.0|3.8|1344|Да|66.0|77.0|2862|45.7
ЛЭТИ|Санкт-Петербургский гос. электротехн. ун-т. “ЛЭТИ”|67.8|3.9|413|Да|69.2|77.5|1355|43.0
СибФУ|Сибирский федеральный ун-т.|59.6|1.9|1844|Да|60.0|66.6|3541|38.3
ИТМО|Ун-т. ИТМО, г. Санкт-Петербург|73.8|9.8|295|Да|74.9|86.9|1175|49.0
УРФУ|Уральский федеральный ун-т. им. Б.Н. Ельцина|64.3|-1.7|1903|Да|64.5|71.3|3765|47.0
