NormalizedName|Вуз|Качество приема на основе ср. балла ЕГЭ зачисленных на бюджет 2017|Рост / падение 2016-2017|Количество студентов, зачисленных на бюджетные места|Из них: количество студентов, зачисленных по конкурсу|Из них: олимпиадников|Из них: по квоте|Из них: на целевые места|Средний балл ЕГЭ рассчитан с вычетом баллов за И.Д.?
БФУ им Канта|Балтийский федеральный ун-т. им. И. Канта|72.6|0.2|894|828|2|31|33|Да
ДВФУ|Дальневосточный федеральный ун-т.|68.4|0.9|2240|1933|4|110|193|Нет
МФТИ|Моск. физико-техн. ин-т.|94.1|0.3|860|631|138|11|80|Да
ТПУ|Национальный исследовательский Томский политехн. ун-т.|77.2|0.2|1216|1072|39|16|89|Да
ВШЭ|Национальный исследовательский ун-т. "Высшая школа экономики", г. Москва|93.9|1.7|1949|916|879|108|46|Да
ЮУрГУ|Национальный исследовательский Южно-Уральский гос. ун-т., г. Челябинск|67.5|1.3|1827|1665|13|60|89|Нет
МИФИ|Национальный исследовательский ядерный ун-т. "МИФИ", г. Москва|88.4|0.6|513|425|1|8|79|Да
НовосибГУ|Новосибирский национальный исследовательский гос. ун-т.|84.6|1.9|962|849|66|45|2|Да
ЛЭТИ|Санкт-Петербургский гос. электротехн. ун-т. “ЛЭТИ”|79.7|2.2|1389|1176|21|19|173|Да
Политех|Санкт-Петербургский политехн. ун-т. Петра Великого|78.3|1.3|2723|2366|58|95|204|Да
СибФУ|Сибирский федеральный ун-т.|65.8|-0.8|3326|3041|11|154|120|Да
ИТМО|Ун-т. ИТМО, г. Санкт-Петербург|90.3|3.4|1229|801|384|19|25|Да
УРФУ|Уральский федеральный ун-т. им. Б.Н. Ельцина|73.0|1.7|3019|2658|33|76|252|Да
