NormalizedName|Вуз|Качество приема на основании среднего балла ЕГЭ зачисленных на платные места 2017|Рост / падение 2016-2017|Зачислено на платные места, чел. 2017|Средний балл рассчитан с вычетом баллов за И.Д.?|Средний балл ЕГЭ зачисленных на бюджетные места 2017|Количество студентов, зачисленных на бюджетные места
БФУ им Канта|Балтийский федеральный ун-т. им. И. Канта|66.7|1.2|417|Да|72.6|894
ДВФУ|Дальневосточный федеральный ун-т.|57.7|1.8|1498|Нет|68.4|2240
МФТИ|Моск. физико-техн. ин-т.|83.6|0|133|Да|94.1|860
ТПУ|Национальный исследовательский Томский политехн. ун-т.|65.7|0.2|247|Да|77.2|1216
ВШЭ|Национальный исследовательский ун-т. "Высшая школа экономики", г. Москва|80.6|-0.3|3795|Да|93.9|1949
ЮУрГУ|Национальный исследовательский Южно-Уральский гос. ун-т., г. Челябинск|0||0|Нет|67.5|1827
МИФИ|Национальный исследовательский ядерный ун-т. "МИФИ", г. Москва|80.0|2.6|79|Да|88.4|513
НовосибГУ|Новосибирский национальный исследовательский гос. ун-т.|72.8|1.5|932|Да|84.6|962
ЛЭТИ|Санкт-Петербургский гос. электротехн. ун-т. “ЛЭТИ”|69.2|1.4|341|Да|79.7|1389
Политех|Санкт-Петербургский политехн. ун-т. Петра Великого|68.1|2.1|1730|Да|78.3|2723
СибФУ|Сибирский федеральный ун-т.|62.7|3.1|1263|Да|65.8|3326
ИТМО|Ун-т. ИТМО, г. Санкт-Петербург|75.9|2.1|420|Да|90.3|1229
УРФУ|Уральский федеральный ун-т. им. Б.Н. Ельцина|63.6|-0.7|2234|Да|73.0|3019
