NormalizedName|Вуз|Качество приема на основании среднего балла ЕГЭ зачисленных на бюджетные места 2018|Рост/ падение 2018-2017|Количество студентов, зачисленных на бюджетные места|Из них: без экзаменов|Средний балл рассчитан с вычетом баллов за И.Д.?
БФУ им Канта|Балтийский федеральный ун-т. им. И. Канта|73.2|0.6|1005|1|Да
ДВФУ|Дальневосточный федеральный ун-т.|70.6|2.2|2062|9|Да
МФТИ|Моск. физико-техн. ин-т.|96.4|2.3|810|346|Да
ТПУ|Национальный исследовательский Томский политехн. ун-т.|77.6|0.4|1238|65|Да
ВШЭ|Национальный исследовательский ун-т. "Высшая школа экономики", г. Москва|94.6|0.7|2014|943|Да
ЮУрГУ|Национальный исследовательский Южно-Уральский гос. ун-т., г. Челябинск|66.8|-0.7|1695|4|Да
МИФИ|Национальный исследовательский ядерный ун-т. "МИФИ", г. Москва|90.3|1.9|569|121|Да
НовосибГУ|Новосибирский национальный исследовательский гос. ун-т.|86.4|1.8|961|113|Да
ЛЭТИ|Санкт-Петербургский гос. электротехн. ун-т. “ЛЭТИ”|80.4|0.7|1433|21|Да
Политех|Санкт-Петербургский политехн. ун-т. Петра Великого|80.0|1.7|2674|51|Да
СибФУ|Сибирский федеральный ун-т.|66.2|0.4|3429|12|Да
ИТМО|Ун-т. ИТМО, г. Санкт-Петербург|90.2|-0.1|1075|327|Да
УРФУ|Уральский федеральный ун-т. им. Б.Н. Ельцина|74.2|1.2|3559|67|Да
