NormalizedName|Вуз|Качество приема на основании среднего балла ЕГЭ зачисленных на платные места 2018|Рост / падение 2017-2018|Зачислено на платные места, чел. 2018|Средний балл рассчитан с вычетом баллов за И.Д.?|Средневзвешенная стоимость обучения|Средний балл ЕГЭ зачисленных на бюджетные места 2018|Зачислено на бюджетные места, чел. 2018
БФУ им Канта|Балтийский федеральный ун-т. им. И. Канта|66.9|0.2|336|Да|129772|73.2|1005
ДВФУ|Дальневосточный федеральный ун-т.|61.7|4|1085|Да|203465|70.6|2062
МФТИ|Моск. физико-техн. ин-т.|86.3|2.7|270|Да|250000|96.4|810
ТПУ|Национальный исследовательский Томский политехн. ун-т.|71.9|6.2|101|Да|203202|77.6|1238
ВШЭ|Национальный исследовательский ун-т. "Высшая школа экономики", г. Москва|82.3|1.7|4438|Да|404535|94.6|2014
ЮУрГУ|Национальный исследовательский Южно-Уральский гос. ун-т., г. Челябинск|53.4||1191|Да|125517|66.8|1695
МИФИ|Национальный исследовательский ядерный ун-т. "МИФИ", г. Москва|75.8|-4.2|97|Да|249222|90.3|569
НовосибГУ|Новосибирский национальный исследовательский гос. ун-т.|74.1|1.3|831|Да|143051|86.4|961
ЛЭТИ|Санкт-Петербургский гос. электротехн. ун-т. “ЛЭТИ”|70.4|1.2|522|Да|164291|80.4|1433
Политех|Санкт-Петербургский политехн. ун-т. Петра Великого|68.5|0.4|1673|Да|176429|80.0|2674
СибФУ|Сибирский федеральный ун-т.|63.2|0.5|1142|Да|147516|66.2|3429
ИТМО|Ун-т. ИТМО, г. Санкт-Петербург|75.1|-0.8|320|Да|201350|90.2|1075
УРФУ|Уральский федеральный ун-т. им. Б.Н. Ельцина|63.7|0.1|2452|Да|154336|74.2|3559
