NormalizedName|Вуз|Качество приема на основании среднего балла ЕГЭ зачисленных на платные места 2020|Рост / падение 2020-2019|Зачислено на платные места, чел. 2020|Средний балл ЕГЭ зачисленных на бюджетные места 2020|Зачислено на бюджетные места, чел. 2020|Ср.балл рассчитан с вычетом баллов за И.Д.?
БФУ им Канта|Балтийский федеральный ун-т. им. И. Канта|70.5|2.6|582|77.6|1009|Да
ДВФУ|Дальневосточный федеральный ун-т.|65.4|1.9|744|73.3|2124|Да
МФТИ|Моск. физико-техн. ин-т.|89.2|0.6|283|97.6|865|Да
ВШЭ|Национальный исследовательский ун-т. "Высшая школа экономики", г. Москва|84.8|1|3872|95.2|2418|Да
ЮУрГУ|Национальный исследовательский Южно-Уральский гос. ун-т., г. Челябинск|61.0|5.7|784|70.4|2278|Да
МИФИ|Национальный исследовательский ядерный ун-т. "МИФИ", г. Москва|79.0|-0.4|272|95.0|635|Да
НовосибГУ|Новосибирский национальный исследовательский гос. ун-т.|76.9|1.2|602|87.8|1142|Нет
ЛЭТИ|Санкт-Петербургский гос. электротехн. ун-т. “ЛЭТИ”|72.2|3|644|82.6|1505|Да
Политех|Санкт-Петербургский политехн. ун-т. Петра Великого|73.2|0.9|1256|82.4|2687|Да
СибФУ|Сибирский федеральный ун-т.|65.0|2.1|1269|71.1|2661|Да
ИТМО|Ун-т. ИТМО, г. Санкт-Петербург|77.6|0.4|675|93.1|1172|Да
УРФУ|Уральский федеральный ун-т. им. Б.Н. Ельцина|67.8|2.2|2212|77.6|3705|Да
