Uni|2012|2013|2014|2015|2016|2017|2018|2019|2020
БФУ им Канта|65.0|69.8|70.1|71.1|72.4|72.6|73.2|75.6|77.6
ВШЭ|86.4|89.0|86.0|89.3|92.2|93.9|94.6|95.4|95.2
ДВФУ|59.5|64.6|65.4|66.7|67.5|68.4|70.6|72.7|73.3
ИТМО|75.9|80.5|78.9|82.7|86.9|90.3|90.2|92.7|93.1
ЛЭТИ|67.6|74.4|71.7|73.7|77.5|79.7|80.4|83.2|82.6
МИФИ|75.8|84.6|83.7|86.3|87.8|88.4|90.3|93.6|95.0
МФТИ|90.4|93.2|92.2|93.8|93.8|94.1|96.4|97.3|97.6
НовосибГУ|76.8|82.2|79.2|82.0|82.7|84.6|86.4|87.8|87.8
Политех|71.1|75.8|72.9|77.3|77.0|78.3|80.0|83.2|82.4
СибФУ|63.8|66.9|64.0|64.4|66.6|65.8|66.2|68.7|71.1
УРФУ|66.5|69.4|68.5|70.4|71.3|73.0|74.2|76.7|77.6
ЮУрГУ|63.6|69.6|65.9|65.2|66.2|67.5|66.8|67.7|70.4
