Uni|2012|2013|2014|2015|2016|2017|2018|2019|2020
БФУ им Канта| |48.0|60.3|64.3|65.5|66.7|66.9|67.9|70.5
ВШЭ| |67.0|77.8|79.0|80.9|80.6|82.3|83.8|84.8
ДВФУ| |44.7|52.3|55.7|55.9|57.7|61.7|63.5|65.4
ИТМО| |51.8|60.0|64.0|73.8|75.9|75.1|77.2|77.6
ЛЭТИ| |49.8|61.4|63.9|67.8|69.2|70.4|69.2|72.2
МИФИ| |61.9|71.8|76.0|77.4|80.0|75.8|79.4|79.0
МФТИ| |74.3|78.9|82.5|83.6|83.6|86.3|88.6|89.2
НовосибГУ| |58.8|69.5|70.4|71.3|72.8|74.1|75.7|76.9
Политех| |48.2|59.2|62.2|66.0|68.1|68.5|72.3|73.2
СибФУ| |47.0|58.5|57.7|59.6|62.7|63.2|62.9|65.0
ТПУ| |53.0|63.9|62.8|65.5|65.7|71.9|71.0|66.7
УРФУ| |45.1|59.9|66.0|64.3|63.6|63.7|65.6|67.8
ЮУрГУ| | | | | |0|53.4|55.3|61.0
