Uni|2012|2013|2014|2015|2016|2017|2018|2019|2020
БФУ им Канта|874|819|903|850|878|894|1005|952|1009
ВШЭ|1596|2102|1873|2448|1963|1949|2014|2174|2418
ДВФУ|2269|2188|2200|2418|2320|2240|2062|1858|2124
ИТМО|1372|1282|1173|1122|1175|1229|1075|1153|1172
ЛЭТИ|1143|1260|1324|1381|1355|1389|1433|1472|1505
МИФИ|1249|865|607|475|542|513|569|602|635
МФТИ|867|944|926|890|910|860|810|825|865
НовосибГУ|791|895|930|943|964|962|961|1041|1142
Политех|2054|2135|2300|2508|2862|2723|2674|2693|2687
СибФУ|3915|3916|3991|4117|3541|3326|3429|3225|2661
ТПУ|1704|1680|1313|1287|1236|1216|1238|1269|1399
УРФУ|2966|3655|3306|4105|3765|3019|3559|3428|3705
ЮУрГУ|1805|1809|1897|2086|1977|1827|1695|1703|2278
