Uni|2012|2013|2014|2015|2016|2017|2018|2019|2020
БФУ им Канта| |856|510|335|308|417|336|501|582
ВШЭ| |1576|914|2028|3085|3795|4438|4885|3872
ДВФУ| |2165|1677|1588|1790|1498|1085|654|744
ИТМО| |1222|482|336|295|420|320|561|675
ЛЭТИ| |1260|224|345|413|341|522|710|644
МИФИ| |903|66|305|71|79|97|280|272
МФТИ| |868|74|149|105|133|270|292|283
НовосибГУ| |896|557|501|726|932|831|770|602
Политех| |2167|1834|1480|1344|1730|1673|1545|1256
СибФУ| |3915|1551|1396|1844|1263|1142|1122|1269
ТПУ| |1680|134|246|308|247|101|24|25
УРФУ| |3292|2118|1416|1903|2234|2452|2647|2212
ЮУрГУ| | | | | |0|1191|1224|784
