NormalizedName|Вуз|Профиль|Средний балл зачисленных по результатам ЕГЭ 2013 (в расчете на один предмет)|Разность между средними баллами зачисленных по результатам ЕГЭ 2013 – 2012|Балл самого слабого из зачисленных по результатам ЕГЭ 2013|Количество студентов, зачисленных на бюджетные места|Из них: количество студентов, зачисленных по конкурсу|Из них: олимпиадников|Из них: льготников|Из них: целевиков|Средний балл ЕГЭ зачисленных по конкурсу 2013 (в расчете на один предмет)
БФУ им Канта|Балтийский федеральный ун-т. им. Иммануила Канта, г.Калининград|классический|69.8|5.6|36.0|819|697|1|63|58|62.8
ДВФУ|Дальневосточный федеральный ун-т., г. Владивосток|классический|64.6|2.1|34.7|2188|1825|5|95|263|57.0
МФТИ|Моск. физико-техн. ин-т. (МФТИ)|технический|93.2|2.4|73.3|944|812|67|12|53|88.1
ВШЭ|Национальный исследовательский ун-т. "Высшая школа экономики", г. Москва|социально-экономический|89.0|-0.2|59.3|2102|976|1002|88|36|89.2
ЮУрГУ|Национальный исследовательский Южно-Уральский гос. ун-т.|классический|69.6|2.9|39.7|1809|1554|20|48|187|66.1
МИФИ|Национальный исследовательский ядерный ун-т. "МИФИ", г. Москва|технический|84.6|11.3|57.7|865|707|22|18|118|85.6
НовосибГУ|Новосибирский гос. ун-т.|классический|82.2|6.5|44.7|895|705|158|32|0|79.2
Политех|Санкт-Петербургский гос. политехн. ун-т.|технический|75.8|0.8|44.3|2135|1616|132|59|328|72.9
ЛЭТИ|Санкт-Петербургский гос. электротехн. ун-т. “ЛЭТИ”|технический|74.4|4.4|44.3|1260|932|29|16|283|74.3
ИТМО|Санкт-Петербургский национальный исследовательский ун-т. информационных технологий, механики и оптики|технический|80.5|-3.7|57.3|1282|975|203|20|84|78.7
СибФУ|Сибирский федеральный ун-т. (СФУ), г. Красноярск|классический|66.9|0.3|34.8|3916|3365|0|264|287|56.5
УРФУ|Уральский федеральный ун-т. им. первого Президента России Б.Н.Ельцина, г. Екатеринбург|классический|69.4|0|32.0|3655|2729|100|159|667|63.1
