NormalizedName|Вуз|Профиль|Средний балл ЕГЭ зачисленных на платные места 2013 (в расчете на один предмет)|Насколько изменился средний балл зачисленных на платные места в 2013 по сравнению с 2012|Балл ЕГЭ самого слабого зачисленного на платное место 2013|Сколько человек зачислено на платные места 2013|Средний балл зачисленных по результатам ЕГЭ 2013 (в расчете на один предмет)|Сколько человек зачислено на бюджетные места 2013
БФУ им Канта|Балтийский федеральный ун-т. им. Иммануила Канта, г.Калининград|классический|48.0|4.6|856|62.5|69.8|819
ДВФУ|Дальневосточный федеральный ун-т., г. Владивосток|классический|44.7|1.3|2165|56.3|64.6|2188
МФТИ|Моск. физико-техн. ин-т. (МФТИ)|технический|74.3|4.8|868|80.9|93.2|944
ВШЭ|Национальный исследовательский ун-т. "Высшая школа экономики", г. Москва|социально-экономический|67.0|1.6|1576|81.1|89.0|2102
МИФИ|Национальный исследовательский ядерный ун-т. "МИФИ", г. Москва|технический|61.9|7.6|903|69.7|84.6|865
НовосибГУ|Новосибирский гос. ун-т.|классический|58.8|7.1|896|71.0|82.2|895
Политех|Санкт-Петербургский гос. политехн. ун-т.|технический|48.2|6|2167|63.4|75.8|2135
ЛЭТИ|Санкт-Петербургский гос. электротехн. ун-т. “ЛЭТИ”|технический|49.8|3.3|1260|65.1|74.4|1260
ИТМО|Санкт-Петербургский национальный исследовательский ун-т. информационных технологий, механики и оптики|технический|51.8|4.5|1222|64.1|80.5|1282
СибФУ|Сибирский федеральный ун-т. (СФУ), г. Красноярск|классический|47.0|5.1|3915|62.8|66.9|3916
УРФУ|Уральский федеральный ун-т. им. первого Президента России Б.Н.Ельцина, г. Екатеринбург|классический|45.1|3.3|3292|62.0|69.4|3655
