NormalizedName|Вуз|Качество приема на основе ср. балла ЕГЭ зачисленных на бюджет 2016|Рост / падение 2015-2016|Количество студентов, зачисленных на бюджетные места|Из них: количество студентов, зачисленных по конкурсу|Из них: олимпиадников|Из них: по квоте|Из них: на целевые места|Из них: Крым|Средний балл ЕГЭ рассчитан с вычетом баллов за И.Д.?|Средний балл ЕГЭ зачисленных на бюджет 2016 (без вычета баллов за И.Д.)|Балл самого слабого из зачисленных по результатам ЕГЭ 2016
БФУ им Канта|Балтийский федеральный ун-т. им. И. Канта|72.4|1.3|878|795|2|31|48|2|05.09.2016 23:17|72.4|49.7
ДВФУ|Дальневосточный федеральный ун-т.|67.5|0.8|2320|1957|3|121|235|4|16.09.2017 22:22|67.5|34.7
МФТИ|Моск. физико-техн. ин-т.|93.8|0|910|545|176|17|159|13|05.09.2016 23:11|96.0|65.7
ВШЭ|Национальный исследовательский ун-т. "Высшая школа экономики", г. Москва|92.2|2.9|1963|1140|698|82|36|7|07.12.2017 15:12|93.5|62.8
ЮУрГУ|Национальный исследовательский Южно-Уральский гос. ун-т., г. Челябинск|66.2|1|1977|1813|13|51|100|0||66.2|36.7
МИФИ|Национальный исследовательский ядерный ун-т. "МИФИ", г. Москва|87.8|1.5|542|420|32|13|73|4|02.09.2016 17:00|89.3|58.3
НовосибГУ|Новосибирский национальный исследовательский гос. ун-т.|82.7|0.7|964|862|77|25|0|0|10.09.2016 02:41|83.8|55.0
Политех|Санкт-Петербургский гос. политехн. ун-т.|77.0|-0.3|2862|2476|84|63|231|8|15.09.2016 17:52|78.4|45.0
ЛЭТИ|Санкт-Петербургский гос. электротехн. ун-т. “ЛЭТИ”|77.5|3.8|1355|1131|16|12|183|13|13.09.2016 13:47|79.0|55.3
СибФУ|Сибирский федеральный ун-т.|66.6|2.2|3541|3194|17|176|154|0|01.09.2016 18:08|67.5|34.7
ИТМО|Ун-т. ИТМО, г. Санкт-Петербург|86.9|4.2|1175|913|201|19|36|6|07.09.2016 13:40|88.8|65.7
УРФУ|Уральский федеральный ун-т. им. Б.Н. Ельцина|71.3|0.9|3765|3286|30|87|361|1|31.08.2016 14:38|71.9|47.0
