NormalizedName|Вуз|Качество приема на основании среднего балла ЕГЭ зачисленных на платные места 2019|Рост / падение 2019-2018|Зачислено на платные места, чел. 2019|Средний балл ЕГЭ зачисленных на бюджетные места 2019|Зачислено на бюджетные места, чел. 2019|Ср.балл рассчитан с вычетом баллов за И.Д.?
БФУ им Канта|Балтийский федеральный ун-т. им. И. Канта|67.9|1|501|75.6|952|Да
ДВФУ|Дальневосточный федеральный ун-т.|63.5|1.8|654|72.7|1858|Нет
МФТИ|Моск. физико-техн. ин-т.|88.6|2.3|292|97.3|825|Да
ВШЭ|Национальный исследовательский ун-т. "Высшая школа экономики", г. Москва|83.8|1.5|4885|95.4|2174|Да
ЮУрГУ|Национальный исследовательский Южно-Уральский гос. ун-т., г. Челябинск|55.3|1.9|1224|67.7|1703|Да
МИФИ|Национальный исследовательский ядерный ун-т. "МИФИ", г. Москва|79.4|3.6|280|93.6|602|Да
НовосибГУ|Новосибирский национальный исследовательский гос. ун-т.|75.7|1.6|770|87.8|1041|Да
ЛЭТИ|Санкт-Петербургский гос. электротехн. ун-т. “ЛЭТИ”|69.2|-1.2|710|83.2|1472|Да
Политех|Санкт-Петербургский политехн. ун-т. Петра Великого|72.3|3.8|1545|83.2|2693|Да
СибФУ|Сибирский федеральный ун-т.|62.9|-0.3|1122|68.7|3225|Да
ИТМО|Ун-т. ИТМО, г. Санкт-Петербург|77.2|2.1|561|92.7|1153|Да
УРФУ|Уральский федеральный ун-т. им. Б.Н. Ельцина|65.6|1.9|2647|76.7|3428|Да
