NormalizedName|Вуз|Качество приема на основании среднего балла ЕГЭ зачисленных на бюджетные места 2020|Рост/ падение 2020-2019|Количество студентов, зачисленных на бюджетные места|Из них: без экзаменов|Ср.балл рассчитан с вычетом баллов за И.Д.?
БФУ им Канта|Балтийский федеральный ун-т. им. И. Канта|77.6|2|1009|9|Да
ДВФУ|Дальневосточный федеральный ун-т.|73.3|0.6|2124|16|Да
МФТИ|Моск. физико-техн. ин-т.|97.6|0.3|865|422|Да
ВШЭ|Национальный исследовательский ун-т. "Высшая школа экономики", г. Москва|95.2|-0.2|2418|1015|Да
ЮУрГУ|Национальный исследовательский Южно-Уральский гос. ун-т., г. Челябинск|70.4|2.7|2278|15|Да
МИФИ|Национальный исследовательский ядерный ун-т. "МИФИ", г. Москва|95.0|1.4|635|341|Да
НовосибГУ|Новосибирский национальный исследовательский гос. ун-т.|87.8|0|1142|106|Нет
ЛЭТИ|Санкт-Петербургский гос. электротехн. ун-т. “ЛЭТИ”|82.6|-0.6|1505|32|Да
Политех|Санкт-Петербургский политехн. ун-т. Петра Великого|82.4|-0.8|2687|87|Да
СибФУ|Сибирский федеральный ун-т.|71.1|2.4|2661|12|Да
ИТМО|Ун-т. ИТМО, г. Санкт-Петербург|93.1|0.4|1172|445|Да
УРФУ|Уральский федеральный ун-т. им. Б.Н. Ельцина|77.6|0.9|3705|104|Да
