Взятки никто требует|2
никто требует стыдно,|2
требует стыдно, наверно.|2
стыдно, наверно. общежитии,|2
наверно. общежитии, говорят,|2
общежитии, говорят, тараканы,|2
говорят, тараканы, жил|2
тараканы, жил подтвердить|2
жил подтвердить смогу.|2
подтвердить смогу. году|2
смогу. году поступил|2
году поступил конкурс|2
поступил конкурс портфолио|2
конкурс портфолио собеседования,|2
портфолио собеседования, кого|2
собеседования, кого портфолио|2
кого портфолио одни|2
портфолио одни "5".|2
одни "5". Отбирали|2
"5". Отбирали странно|2
